clip_id,path,label,speaker,session,ai_speaking_offset_sec,overlap_sec,preceding_silence_sec,notes
syn_backchannel_0001,synthetic/syn_backchannel_0001.wav,backchannel,synthetic,synthetic-v1,0.038,0.352,0.106,auto-generated; not a substitute for real recordings
syn_backchannel_0002,synthetic/syn_backchannel_0002.wav,backchannel,synthetic,synthetic-v1,0.151,0.289,0.130,auto-generated; not a substitute for real recordings
syn_backchannel_0003,synthetic/syn_backchannel_0003.wav,backchannel,synthetic,synthetic-v1,0.078,0.344,0.396,auto-generated; not a substitute for real recordings
syn_backchannel_0004,synthetic/syn_backchannel_0004.wav,backchannel,synthetic,synthetic-v1,0.120,0.430,0.343,auto-generated; not a substitute for real recordings
syn_backchannel_0005,synthetic/syn_backchannel_0005.wav,backchannel,synthetic,synthetic-v1,0.031,0.267,0.118,auto-generated; not a substitute for real recordings
syn_backchannel_0006,synthetic/syn_backchannel_0006.wav,backchannel,synthetic,synthetic-v1,0.236,0.311,0.200,auto-generated; not a substitute for real recordings
syn_backchannel_0007,synthetic/syn_backchannel_0007.wav,backchannel,synthetic,synthetic-v1,0.108,0.331,0.494,auto-generated; not a substitute for real recordings
syn_backchannel_0008,synthetic/syn_backchannel_0008.wav,backchannel,synthetic,synthetic-v1,0.293,0.206,0.494,auto-generated; not a substitute for real recordings
syn_backchannel_0009,synthetic/syn_backchannel_0009.wav,backchannel,synthetic,synthetic-v1,0.156,0.409,0.003,auto-generated; not a substitute for real recordings
syn_backchannel_0010,synthetic/syn_backchannel_0010.wav,backchannel,synthetic,synthetic-v1,0.253,0.324,0.494,auto-generated; not a substitute for real recordings
syn_backchannel_0011,synthetic/syn_backchannel_0011.wav,backchannel,synthetic,synthetic-v1,0.122,0.360,0.180,auto-generated; not a substitute for real recordings
syn_backchannel_0012,synthetic/syn_backchannel_0012.wav,backchannel,synthetic,synthetic-v1,0.130,0.231,0.410,auto-generated; not a substitute for real recordings
syn_backchannel_0013,synthetic/syn_backchannel_0013.wav,backchannel,synthetic,synthetic-v1,0.091,0.254,0.219,auto-generated; not a substitute for real recordings
syn_backchannel_0014,synthetic/syn_backchannel_0014.wav,backchannel,synthetic,synthetic-v1,0.204,0.282,0.052,auto-generated; not a substitute for real recordings
syn_backchannel_0015,synthetic/syn_backchannel_0015.wav,backchannel,synthetic,synthetic-v1,0.147,0.217,0.259,auto-generated; not a substitute for real recordings
syn_backchannel_0016,synthetic/syn_backchannel_0016.wav,backchannel,synthetic,synthetic-v1,0.200,0.313,0.486,auto-generated; not a substitute for real recordings
syn_backchannel_0017,synthetic/syn_backchannel_0017.wav,backchannel,synthetic,synthetic-v1,0.084,0.203,0.208,auto-generated; not a substitute for real recordings
syn_backchannel_0018,synthetic/syn_backchannel_0018.wav,backchannel,synthetic,synthetic-v1,0.176,0.243,0.260,auto-generated; not a substitute for real recordings
syn_backchannel_0019,synthetic/syn_backchannel_0019.wav,backchannel,synthetic,synthetic-v1,0.029,0.426,0.021,auto-generated; not a substitute for real recordings
syn_backchannel_0020,synthetic/syn_backchannel_0020.wav,backchannel,synthetic,synthetic-v1,0.155,0.258,0.159,auto-generated; not a substitute for real recordings
syn_backchannel_0021,synthetic/syn_backchannel_0021.wav,backchannel,synthetic,synthetic-v1,0.296,0.185,0.270,auto-generated; not a substitute for real recordings
syn_backchannel_0022,synthetic/syn_backchannel_0022.wav,backchannel,synthetic,synthetic-v1,0.191,0.177,0.373,auto-generated; not a substitute for real recordings
syn_backchannel_0023,synthetic/syn_backchannel_0023.wav,backchannel,synthetic,synthetic-v1,0.059,0.295,0.399,auto-generated; not a substitute for real recordings
syn_backchannel_0024,synthetic/syn_backchannel_0024.wav,backchannel,synthetic,synthetic-v1,0.046,0.283,0.445,auto-generated; not a substitute for real recordings
syn_backchannel_0025,synthetic/syn_backchannel_0025.wav,backchannel,synthetic,synthetic-v1,0.128,0.373,0.079,auto-generated; not a substitute for real recordings
syn_backchannel_0026,synthetic/syn_backchannel_0026.wav,backchannel,synthetic,synthetic-v1,0.009,0.308,0.471,auto-generated; not a substitute for real recordings
syn_backchannel_0027,synthetic/syn_backchannel_0027.wav,backchannel,synthetic,synthetic-v1,0.024,0.341,0.059,auto-generated; not a substitute for real recordings
syn_backchannel_0028,synthetic/syn_backchannel_0028.wav,backchannel,synthetic,synthetic-v1,0.108,0.339,0.187,auto-generated; not a substitute for real recordings
syn_backchannel_0029,synthetic/syn_backchannel_0029.wav,backchannel,synthetic,synthetic-v1,0.185,0.344,0.142,auto-generated; not a substitute for real recordings
syn_backchannel_0030,synthetic/syn_backchannel_0030.wav,backchannel,synthetic,synthetic-v1,0.200,0.282,0.459,auto-generated; not a substitute for real recordings
syn_backchannel_0031,synthetic/syn_backchannel_0031.wav,backchannel,synthetic,synthetic-v1,0.179,0.280,0.008,auto-generated; not a substitute for real recordings
syn_backchannel_0032,synthetic/syn_backchannel_0032.wav,backchannel,synthetic,synthetic-v1,0.051,0.273,0.069,auto-generated; not a substitute for real recordings
syn_backchannel_0033,synthetic/syn_backchannel_0033.wav,backchannel,synthetic,synthetic-v1,0.168,0.289,0.210,auto-generated; not a substitute for real recordings
syn_backchannel_0034,synthetic/syn_backchannel_0034.wav,backchannel,synthetic,synthetic-v1,0.168,0.272,0.426,auto-generated; not a substitute for real recordings
syn_backchannel_0035,synthetic/syn_backchannel_0035.wav,backchannel,synthetic,synthetic-v1,0.223,0.157,0.453,auto-generated; not a substitute for real recordings
syn_backchannel_0036,synthetic/syn_backchannel_0036.wav,backchannel,synthetic,synthetic-v1,0.228,0.333,0.468,auto-generated; not a substitute for real recordings
syn_backchannel_0037,synthetic/syn_backchannel_0037.wav,backchannel,synthetic,synthetic-v1,0.126,0.268,0.333,auto-generated; not a substitute for real recordings
syn_backchannel_0038,synthetic/syn_backchannel_0038.wav,backchannel,synthetic,synthetic-v1,0.028,0.266,0.471,auto-generated; not a substitute for real recordings
syn_backchannel_0039,synthetic/syn_backchannel_0039.wav,backchannel,synthetic,synthetic-v1,0.180,0.270,0.226,auto-generated; not a substitute for real recordings
syn_backchannel_0040,synthetic/syn_backchannel_0040.wav,backchannel,synthetic,synthetic-v1,0.232,0.276,0.351,auto-generated; not a substitute for real recordings
syn_hesitation_0041,synthetic/syn_hesitation_0041.wav,hesitation,synthetic,synthetic-v1,0.239,0.272,0.321,auto-generated; not a substitute for real recordings
syn_hesitation_0042,synthetic/syn_hesitation_0042.wav,hesitation,synthetic,synthetic-v1,0.093,0.141,0.004,auto-generated; not a substitute for real recordings
syn_hesitation_0043,synthetic/syn_hesitation_0043.wav,hesitation,synthetic,synthetic-v1,0.194,0.407,0.277,auto-generated; not a substitute for real recordings
syn_hesitation_0044,synthetic/syn_hesitation_0044.wav,hesitation,synthetic,synthetic-v1,0.219,0.242,0.455,auto-generated; not a substitute for real recordings
